+,http://data.linkedevents.org/location/80da7b39-c23b-33d9-9b7d-475db1a800c7,http://data.linkedevents.org/location/ca75fa13-b267-33c1-b4e8-ad20c82e5dcf,1.0
+,http://data.linkedevents.org/location/dcdc145e-0b96-34c2-ad92-cd81e6330de0,http://data.linkedevents.org/location/321ce4c4-3bf8-3777-8a3c-fce0b5bfdb80,1.0
+,http://data.linkedevents.org/location/c28be2dc-d820-33e8-867e-df15a15cb907,http://data.linkedevents.org/location/ff624241-5942-3a16-a121-d60a1742b790,1.0
+,http://data.linkedevents.org/location/57316c78-a05a-3b8e-9318-76a65f7a5431,http://data.linkedevents.org/location/6d848aed-680d-3e7d-b7ad-02b79982c5f5,1.0
+,http://data.linkedevents.org/location/98d29028-ed67-371f-9b68-85ca40dbce37,http://data.linkedevents.org/location/f2a056aa-f16e-3e40-a312-735756fcd225,1.0
+,http://data.linkedevents.org/location/971f946a-30c7-3d83-be15-6c4537941e5c,http://data.linkedevents.org/location/1998bb0a-44b9-3e8a-b406-14dd08ea5ead,1.0
+,http://data.linkedevents.org/location/05894fbb-5657-3afa-a2ba-4dd22ccee34f,http://data.linkedevents.org/location/b1d70ec1-7fbc-3437-8475-be636c7fb4f9,1.0
+,http://data.linkedevents.org/location/3cd232d3-a1f2-3bb9-84bc-90ea20d6adad,http://data.linkedevents.org/location/8bcd6a43-3a24-3856-a1b3-9dade8a1378b,1.0
+,http://data.linkedevents.org/location/33415f73-6efc-3212-907d-75f6055d8c09,http://data.linkedevents.org/location/084ad377-2b1c-3e13-a07c-7dd40277e6bb,1.0
+,http://data.linkedevents.org/location/18c022ff-26e7-3b95-b1d4-76271f21afb9,http://data.linkedevents.org/location/351fc034-8b18-3ad1-b17b-7c94299c6e4b,1.0
-,http://data.linkedevents.org/location/db6a103b-2c8f-3e06-848a-ccd5a153cd68,http://data.linkedevents.org/location/75fec337-7109-3904-aee0-a427cd02bed3,1.0
-,http://data.linkedevents.org/location/786d07ba-e3f5-37f9-b92c-bf75052b745d,http://data.linkedevents.org/location/dfdf1b71-f943-3d9b-bed3-4f3dca64fb92,1.0
